2024-10-11 13:10:56.248179, 3.700900 ms
2024-10-11 13:10:56.418876, 7.009600 ms
2024-10-11 13:10:56.548610, 8.538800 ms
2024-10-11 13:10:56.676409, 7.876700 ms
2024-10-11 13:10:59.993608, 40.125300 ms
2024-10-11 13:11:00.926538, 17.902600 ms
2024-10-11 13:11:01.373833, 11.697400 ms
2024-10-11 13:11:02.311333, 6.845400 ms
2024-10-11 13:11:04.308903, 5.877000 ms
2024-10-11 13:11:05.073225, 13.864000 ms
2024-10-11 13:11:05.377660, 44.758500 ms
2024-10-11 13:11:05.836674, 32.921900 ms
2024-10-11 13:11:07.051526, 25.711200 ms
2024-10-11 13:11:07.217804, 15.678300 ms
2024-10-11 13:11:07.361595, 33.882000 ms
2024-10-11 13:11:07.452480, 4.638000 ms
2024-10-11 13:11:10.757302, 27.781400 ms
2024-10-11 13:11:11.708933, 32.320300 ms
2024-10-11 13:11:12.128692, 6.789400 ms
2024-10-11 13:11:13.075704, 2.546000 ms
2024-10-11 13:11:15.129565, 18.849900 ms
2024-10-11 13:11:15.846037, 12.581500 ms
2024-10-11 13:11:16.110100, 3.481800 ms
2024-10-11 13:11:16.572400, 10.767300 ms
2024-10-11 13:11:17.824565, 12.580400 ms
2024-10-11 13:11:17.998929, 11.463700 ms
2024-10-11 13:11:18.131535, 12.522000 ms
2024-10-11 13:11:18.245568, 4.505800 ms
2024-10-11 13:11:21.534545, 22.486400 ms
2024-10-11 13:11:22.544624, 55.813300 ms
2024-10-11 13:11:22.969023, 29.746400 ms
2024-10-11 13:11:23.923053, 42.016600 ms
2024-10-11 13:11:25.877386, 12.378100 ms
2024-10-11 13:11:26.643533, 27.183500 ms
2024-10-11 13:11:26.915781, 32.395800 ms
2024-10-11 13:11:27.392175, 31.815700 ms
2024-10-11 13:11:28.582089, 7.609800 ms
2024-10-11 13:11:28.762502, 17.355700 ms
2024-10-11 13:11:28.908237, 28.695300 ms
2024-10-11 13:11:29.032984, 26.998200 ms
2024-10-11 13:11:32.339386, 13.104700 ms
2024-10-11 13:11:33.288612, 37.620900 ms
2024-10-11 13:11:33.700510, 9.731800 ms
2024-10-11 13:11:34.628027, 37.845200 ms
2024-10-11 13:11:36.719385, 44.963800 ms
2024-10-11 13:11:37.405651, 22.214600 ms
2024-10-11 13:11:37.684409, 29.636900 ms
2024-10-11 13:11:38.123763, 25.720700 ms
2024-10-11 13:11:39.400833, 12.068400 ms
2024-10-11 13:11:39.562714, 20.577600 ms
2024-10-11 13:11:39.682567, 21.711200 ms
2024-10-11 13:11:39.820311, 28.388300 ms
2024-10-11 13:11:43.085642, 7.007300 ms
2024-10-11 13:11:44.057884, 18.101200 ms
2024-10-11 13:11:44.497152, 9.920600 ms
2024-10-11 13:11:45.447747, 26.627500 ms
2024-10-11 13:11:47.446795, 21.226000 ms
2024-10-11 13:11:48.206439, 25.827100 ms
2024-10-11 13:11:48.498720, 41.169700 ms
2024-10-11 13:11:49.000516, 43.526100 ms
2024-10-11 13:11:50.211595, 57.082300 ms
2024-10-11 13:11:50.339772, 18.445900 ms
2024-10-11 13:11:50.486465, 39.837300 ms
2024-10-11 13:11:50.578340, 3.736700 ms
2024-10-11 13:11:53.885729, 42.337600 ms
2024-10-11 13:11:54.858069, 36.220900 ms
2024-10-11 13:11:55.294564, 20.904600 ms
2024-10-11 13:11:56.251411, 36.929900 ms
2024-10-11 13:11:58.227958, 13.838400 ms
2024-10-11 13:11:58.982823, 34.384300 ms
2024-10-11 13:11:59.265087, 32.965300 ms
2024-10-11 13:11:59.741173, 33.824200 ms
2024-10-11 13:12:00.970284, 43.245900 ms
2024-10-11 13:12:01.098705, 10.688700 ms
2024-10-11 13:12:01.257275, 17.716600 ms
2024-10-11 13:12:01.375898, 10.556700 ms
2024-10-11 13:12:04.674891, 36.952100 ms
2024-10-11 13:12:05.624839, 28.654400 ms
2024-10-11 13:12:06.088365, 7.558900 ms
2024-10-11 13:12:07.041250, 29.078300 ms
2024-10-11 13:12:09.023073, 5.785800 ms
2024-10-11 13:12:09.752783, 16.807300 ms
2024-10-11 13:12:10.018981, 3.415500 ms
2024-10-11 13:12:10.489265, 5.203100 ms
2024-10-11 13:12:11.707751, 2.158900 ms
2024-10-11 13:12:11.925375, 55.002500 ms
2024-10-11 13:12:12.004848, 3.038000 ms
2024-10-11 13:12:12.188419, 52.967100 ms
2024-10-11 13:12:15.449727, 28.655300 ms
2024-10-11 13:12:16.400106, 37.578300 ms
2024-10-11 13:12:16.873695, 36.773100 ms
2024-10-11 13:12:17.814356, 8.435200 ms
2024-10-11 13:12:19.805325, 8.948100 ms
2024-10-11 13:12:20.540591, 11.918200 ms
2024-10-11 13:12:20.843731, 32.451200 ms
2024-10-11 13:12:21.348086, 47.180900 ms
2024-10-11 13:12:22.519680, 16.654900 ms
2024-10-11 13:12:22.691762, 18.458400 ms
2024-10-11 13:12:22.836989, 35.451500 ms
2024-10-11 13:12:22.931586, 6.002400 ms
2024-10-11 13:12:26.216852, 17.509000 ms
2024-10-11 13:12:27.188857, 28.544900 ms
2024-10-11 13:12:27.636332, 12.164000 ms
2024-10-11 13:12:28.604868, 35.536900 ms
2024-10-11 13:12:30.565768, 11.986700 ms
2024-10-11 13:12:31.317057, 5.166200 ms
2024-10-11 13:12:31.581454, 2.758200 ms
2024-10-11 13:12:32.092722, 13.055700 ms
2024-10-11 13:12:33.304718, 30.296300 ms
2024-10-11 13:12:33.489335, 31.029100 ms
2024-10-11 13:12:33.591143, 4.191500 ms
2024-10-11 13:12:33.765140, 43.452200 ms
2024-10-11 13:12:36.999903, 25.795400 ms
2024-10-11 13:12:37.958403, 16.225200 ms
2024-10-11 13:12:38.450748, 34.759900 ms
2024-10-11 13:12:39.384703, 4.351700 ms
2024-10-11 13:12:41.354318, 14.924600 ms
2024-10-11 13:12:42.131649, 39.800600 ms
2024-10-11 13:12:42.386976, 17.406200 ms
2024-10-11 13:12:42.924749, 51.462100 ms
2024-10-11 13:12:44.065882, 7.874200 ms
2024-10-11 13:12:44.239705, 11.366000 ms
2024-10-11 13:12:44.383302, 23.764300 ms
